name	modelId	modelIdData	rarity	classId	zennyCost	sharpnessId	rawDamage	defense	affinity	elementId	eleDamage	ailmentId	ailDamage	slots	unk3	unk4	unk5	unk6	unk7	unk8	unk9	unk10	unk11	unk12	unk13	unk14	unk15	unk16	unk17
装備無し	0	we000	0	大剣	0	0	0	0	0	なし	0	なし	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0
アイアンソード	10	we010	0	大剣	1320	0	60	0	0	なし	0	なし	0	0	0	0	1	10	0	0	0	0	0	0	0	0	15	0	0
アイアンソード改	10	we010	0	大剣	1910	256	70	0	0	なし	0	なし	0	0	0	0	2	10	0	0	0	0	0	0	0	0	15	0	0
バスターソード	9	we009	0	大剣	2750	5	80	0	0	なし	0	なし	0	0	0	0	3	10	0	0	0	0	0	0	0	0	15	0	0
ソウルオブキャット	324	we324	0	大剣	21300	514	120	0	0	なし	0	麻痺	300	1	0	0	9	324	0	0	0	0	0	0	0	0	15	0	0
天下無双刀	138	we138	2	太刀	22750	768	160	0	10	なし	0	なし	0	1	0	0	10	0	0	0	0	0	0	0	0	0	15	0	0
バスターブレイド	9	we009	0	大剣	5320	261	100	0	0	なし	0	なし	0	0	0	0	4	10	0	0	0	0	0	0	0	0	15	0	0
ブルーウィング	144	we144	2	大剣	50000	768	150	0	10	火	430	なし	0	1	0	0	65	24	0	0	0	0	0	0	0	0	15	0	0
ブレイズブレイド	12	we012	0	大剣	8850	512	110	1	0	なし	0	なし	0	0	0	0	5	9	0	0	0	0	0	0	0	0	15	0	0
アッパーブレイズ	14	we014	0	大剣	15700	768	140	3	0	なし	0	なし	0	1	0	0	6	9	0	0	0	0	0	0	0	0	15	0	0
鉄刀	0	we000	0	太刀	3150	5	100	0	0	なし	0	なし	0	0	0	0	1	0	0	0	0	0	0	0	0	0	15	0	0
鉄刀【禊】	0	we000	0	太刀	5580	261	110	0	0	なし	0	なし	0	0	0	0	2	0	0	0	0	0	0	0	0	0	15	0	0
鉄刀【神楽】	0	we000	0	太刀	9420	514	120	0	0	なし	0	なし	0	0	0	0	3	0	0	0	0	0	0	0	0	0	15	0	0
骨刀【狼牙】	15	we015	0	太刀	2340	0	90	0	0	なし	0	なし	0	0	0	0	7	15	0	0	0	0	0	0	0	0	15	0	0
骨刀【鮫牙】	15	we015	0	太刀	4650	256	100	0	0	なし	0	なし	0	0	0	0	8	15	0	0	0	0	0	0	0	0	15	0	0
骨刀【竜牙】	15	we015	0	太刀	8250	512	130	0	0	なし	0	なし	0	0	0	0	9	15	0	0	0	0	0	0	0	0	15	0	0
黒刀【零ノ型】	16	we016	0	太刀	12350	514	120	2	0	なし	0	なし	0	2	0	0	20	0	0	0	0	0	0	0	0	0	15	0	0
黒刀【弐ノ型】	16	we016	1	太刀	15580	770	140	6	0	なし	0	なし	0	2	0	0	21	0	0	0	0	0	0	0	0	0	15	0	0
ディフェンダー	27	we027	0	大剣	3850	6	110	14	0	なし	0	なし	0	0	0	0	15	27	0	0	0	0	0	0	0	0	15	0	0
飛竜刀【朱】	251	we251	3	太刀	50000	770	180	0	0	火	270	なし	0	0	0	2	15	245	0	0	0	0	0	0	0	0	15	0	0
センチネル	27	we027	0	大剣	6450	262	120	20	0	なし	0	なし	0	1	0	0	16	27	0	0	0	0	0	0	0	0	15	0	0
ハルバード	1	we001	2	大剣	6840	259	180	0	0	なし	0	なし	0	0	0	0	47	1	0	0	0	0	0	0	0	0	15	0	0
飛竜刀【青葉】	245	we245	0	太刀	18560	514	110	0	0	なし	0	毒	180	0	0	0	17	245	0	0	0	0	0	0	0	0	15	0	0
ジャッジメント	1	we001	2	大剣	12370	516	170	0	0	なし	0	なし	0	0	0	0	48	1	0	0	0	0	0	0	0	0	15	0	0
エクスキューション	17	we017	1	大剣	21060	515	160	0	0	なし	0	なし	0	0	0	0	49	17	0	0	0	0	0	0	0	0	15	0	0
エクスキューション改	17	we017	2	大剣	31600	771	170	0	0	なし	0	なし	0	1	0	0	50	17	0	0	0	0	0	0	0	0	15	0	0
ダークサイス	18	we018	1	太刀	33400	772	150	0	0	なし	0	なし	0	0	0	2	37	18	0	0	0	0	0	0	0	0	15	0	0
ダークトーメント	18	we018	2	太刀	50000	771	160	0	0	なし	0	なし	0	0	0	2	38	18	0	0	0	0	0	0	0	0	15	0	0
ボーンブレイド	19	we019	0	大剣	1050	1	70	0	0	なし	0	なし	0	0	0	0	19	19	0	0	0	0	0	0	0	0	15	0	0
ボーンブレイド改	19	we019	0	大剣	1350	257	80	0	0	なし	0	なし	0	0	0	0	20	19	0	0	0	0	0	0	0	0	15	0	0
アギト	5	we005	0	大剣	1650	256	100	0	0	なし	0	なし	0	0	0	0	21	5	0	0	0	0	0	0	0	0	15	0	0
黒刀【参ノ型】	16	we016	3	太刀	50000	1026	170	10	0	なし	0	なし	0	3	0	2	22	0	0	0	0	0	0	0	0	0	15	0	0
リュウノアギト	5	we005	0	大剣	3350	513	110	0	0	なし	0	なし	0	2	0	0	22	5	0	0	0	0	0	0	0	0	15	0	0
レッドストライプ	240	we240	0	大剣	1850	6	100	4	0	なし	0	なし	0	1	0	0	29	240	0	0	0	0	0	0	0	0	15	0	0
