name	modelId	modelIdData	rarity	maxSlotsMaybe	classId	unk2_1	eqType	unk2_3	unk3_1	unk3_2	unk3_3	unk3_4	unk4_1	unk4_2	unk4_3	unk4_4	unk5_1	unk5_2	unk5_3	unk5_4	zennyCost	rawDamage	defense	recoilMaybe	slots	affinity	sortOrderMaybe	unk6_1	elementId	eleDamage	unk6_4	unk7_1	unk7_2	unk7_3	unk7_4	unk8_1	unk8_2	unk8_3	unk8_4	unk9_1	unk9_2	unk9_3	unk9_4	unk10_1	unk10_2	unk10_3	unk10_4	unk11_1	unk11_2	unk11_3	unk11_4	unk12_1	unk12_2	unk12_3	unk12_4
装備無し	11	we011	0	0	ライトボウガン	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	なし	0	2	0	0	0	0	255	255	255	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
クロスボウガン	11	we011	0	0	ライトボウガン	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	650	80	0	2	3	0	1	3	なし	0	2	0	0	0	0	11	130	112	53	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
クロスボウガン改	90	we090	0	0	ライトボウガン	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	800	90	0	2	0	0	2	8	なし	0	2	0	0	0	0	75	146	242	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
カンタロスガン	91	we091	2	0	ライトボウガン	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	5250	150	0	2	0	0	29	18	なし	0	3	0	0	0	0	79	62	248	63	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ヴァルキリーファイア	92	we092	1	2	ライトボウガン	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	1550	130	0	2	1	0	12	0	なし	0	3	0	0	0	0	95	134	48	188	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
スパルタカスファイア	93	we093	1	3	ライトボウガン	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	2650	140	0	2	0	0	24	0	なし	0	2	0	0	0	0	63	134	240	115	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ショットボウガン・蒼	94	we094	0	0	ライトボウガン	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	1050	90	0	2	2	20	3	5	なし	0	3	0	0	0	0	203	18	49	252	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ショットボウガン・碧	95	we095	0	0	ライトボウガン	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	1650	100	0	2	3	0	5	33	なし	0	3	0	0	0	0	203	19	50	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ショットボウガン・紅	96	we096	0	0	ライトボウガン	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	1700	110	0	2	2	0	10	34	なし	0	3	0	0	0	0	203	147	240	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
メイルシュトローム	97	we097	0	0	ライトボウガン	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	1450	100	0	2	0	0	7	6	なし	0	2	0	0	0	0	251	255	243	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
デザートストーム	98	we098	0	0	ライトボウガン	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	1850	100	0	2	1	0	6	0	なし	0	4	0	0	0	0	79	18	241	255	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
グレネードボウガン	99	we099	0	1	ライトボウガン	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	2100	100	0	2	0	0	14	4	なし	0	4	0	0	0	0	219	54	192	48	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
タイタングレネード	100	we100	2	1	ライトボウガン	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	2150	140	0	2	1	0	16	7	なし	0	4	0	0	0	0	179	237	194	48	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
アルバレスト	13	we013	0	2	ヘビィボウガン	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	1050	120	0	2	3	0	1	0	なし	0	1	0	0	0	0	75	146	48	51	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
アルバレスト改	101	we101	0	2	ヘビィボウガン	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	1450	130	0	2	1	0	2	0	なし	0	1	0	0	0	0	219	182	193	60	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
タンクメイジ	102	we102	0	2	ヘビィボウガン	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	2450	150	0	2	2	0	5	0	なし	0	1	0	0	0	0	203	51	243	63	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
ラピッドキャスト	103	we103	0	1	ヘビィボウガン	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	3250	160	0	2	1	0	7	0	なし	0	4	0	0	0	0	79	146	87	245	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
クイックキャスト	104	we104	1	1	ヘビィボウガン	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	4900	190	0	2	0	0	15	0	なし	0	3	0	0	0	0	159	164	87	245	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
メテオキャノン	105	we105	0	2	ヘビィボウガン	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	3550	170	0	2	2	0	10	11	なし	0	3	0	0	0	0	63	142	0	53	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
青イャンクック砲	147	we147	0	3	ヘビィボウガン	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	2550	190	6	2	0	0	12	0	なし	0	0	0	0	0	0	151	164	128	48	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
カホウ【烏】	301	we301	4	3	ヘビィボウガン	0	0	0	45	1	0	0	0	0	0	0	0	0	0	0	23300	250	6	2	0	0	36	24	なし	0	3	0	0	0	0	151	164	240	48	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
